question_id,type,mean_score
0,testing,-2.8870891702586206
1,testing,-4.15664613013174
2,testing,-3.040762528129246
3,testing,-3.1722515060240966
4,testing,-2.93849311440678
5,testing,-4.06457966457104
6,testing,-3.071475074404762
7,testing,-3.0003895861037235
8,testing,-4.117245371748761
9,testing,-3.2143477182539684
10,testing,-3.876840628829657
11,testing,-3.167992376512097
12,testing,-3.102550828313253
13,testing,-3.677655801005747
14,testing,-3.0507187261814024
15,testing,-3.090011195132607
16,testing,-3.8757153888081395
17,testing,-2.9293934811827955
18,testing,-3.2395342658547794
19,testing,-3.5408680050872094
20,testing,-3.3847076113861387
21,testing,-3.3935155775940533
22,testing,-3.5739382909349175
23,testing,-2.876746171357616
24,testing,-3.4108253761574074
25,testing,-3.513188256157769
26,testing,-4.124743950076219
27,testing,-2.820141173245614
28,testing,-3.892632885514019
29,testing,-3.1683136960293385
30,testing,-3.259855028609155
31,testing,-3.2117396763392856
32,testing,-3.2542221966911766
33,testing,-3.5742234905946604
34,testing,-4.097333122702206
35,testing,-4.505930385794691
36,testing,-2.8852210411658654
37,testing,-3.8923573878336057
38,testing,-3.2045580805564415
39,testing,-3.1355196795886076
40,testing,-3.2967583955223883
41,testing,-3.3121279761904763
42,testing,-2.9849837662337664
43,testing,-3.4793404884708736
44,testing,-4.42234405757874
45,testing,-3.213227607834507
46,testing,-3.1338694125791138
47,testing,-4.40556552277554
48,testing,-2.8605121813322367
49,testing,-3.5513272849462365
50,testing,-2.705357142857143
51,testing,-2.219969249906994
52,testing,-3.6673001126126126
53,testing,-2.945439831963901
54,testing,-2.743855168269231
55,testing,-3.7944009842411166
56,testing,-4.20868420398651
57,testing,-2.1901228621199325
58,testing,-2.7802327473958335
59,testing,-3.6343117759114785
60,testing,-2.5731560202205883
61,testing,-3.0660226004464284
62,testing,-3.47467578125
63,testing,-1.9494598002373418
64,testing,-3.937007666623444
65,testing,-2.698329564144737
66,testing,-2.653826678240741
67,testing,-3.3779435942444622
68,testing,-3.6231875
69,testing,-2.7321304813508065
70,testing,-2.8020939613456157
71,testing,-3.768822973901099
72,testing,-2.8599020337301586
73,testing,-3.3199852279469937
74,testing,-3.0612495605847556
75,testing,-2.3173399808114037
76,testing,-3.779059094752004
77,testing,-3.9024522569444446
78,testing,-2.4979927756569604
79,testing,-3.7975570494870103
80,testing,-3.3232579837349254
81,testing,-2.979510271990741
82,testing,-4.37209990530303
83,testing,-4.076134790348101
84,testing,-2.041888612689394
85,testing,-3.375457763671875
86,testing,-3.112582209282842
87,testing,-2.6609572025767543
88,testing,-4.389200265066965
89,testing,-3.0276704605691713
90,testing,-2.7881619813012297
91,testing,-3.3851982250548245
92,testing,-2.836237589518229
93,testing,-2.5465051451725746
94,testing,-2.4667676842730977
95,testing,-3.8037224058892316
96,testing,-2.9943421378968256
97,testing,-3.363060735887097
98,testing,-4.5314885856619735
99,testing,-2.1943859393780047
100,testing,-3.035434691373967
101,testing,-4.010062839673913
102,testing,-2.3801141036184212
103,testing,-3.3333023313492065
104,testing,-4.317994072300489
105,testing,-3.0388660650143677
106,testing,-3.5707715678418803
107,testing,-3.1121363146551726
108,testing,-2.451784227715164
109,testing,-3.4001133294753085
110,testing,-3.78857421875
111,testing,-2.439754120291096
112,testing,-3.430406767746498
113,testing,-4.333985350002496
114,testing,-2.7173211769979506
115,testing,-3.6198559847745027
116,testing,-3.799095676369863
117,testing,-2.58662109375
118,testing,-3.70703125
119,testing,-2.558844987736192
120,testing,-2.1197525415665064
121,testing,-2.4677734375
122,testing,-3.180507225326345
123,testing,-2.681793212890625
124,testing,-3.748961103723404
125,testing,-2.735912805316092
126,testing,-2.6111233618951615
127,testing,-3.3554267104791133
128,testing,-3.2061797843491737
129,testing,-2.0562727418664384
130,testing,-2.3777934827302634
131,testing,-3.5327888257575757
132,testing,-2.737964295504386
133,testing,-2.9239694695723686
134,testing,-4.559237798055013
135,testing,-2.224395751953125
136,testing,-3.00746589621114
137,testing,-3.868418679558986
