question_id,type,mean_score
0,testing,5793.394318181819
1,testing,5206.77
2,testing,5016.258152173913
3,testing,5463.49375
4,testing,4644.109722222222
5,testing,3506.142907303371
6,testing,5246.920731707317
7,testing,5152.054347826087
8,testing,3939.1575757575756
9,testing,5525.762295081967
10,testing,5161.288659793814
11,testing,5095.9655511811025
12,testing,5271.84756097561
13,testing,5184.464705882353
14,testing,5282.210843373494
15,testing,5485.722972972973
16,testing,5049.422619047619
17,testing,5193.484210526316
18,testing,5219.29
19,testing,5264.2797619047615
20,testing,5178.201923076923
21,testing,4567.298494983278
22,testing,5016.512605042017
23,testing,4881.370192307692
24,testing,5713.3713942307695
25,testing,4976.142210144928
26,testing,4814.644578313253
27,testing,5805.321590909091
28,testing,4966.295238095238
29,testing,5119.881720430108
30,testing,5419.239130434783
31,testing,5793.420138888889
32,testing,5236.180232558139
33,testing,5117.85294117647
34,testing,4921.3306737588655
35,testing,3824.5252837977296
36,testing,5083.770569620253
37,testing,3868.203409090909
38,testing,5394.425742574257
39,testing,5403.168831168831
40,testing,5434.453846153846
41,testing,5225.994047619048
42,testing,5326.82
43,testing,4933.3302752293575
44,testing,3636.813763608087
45,testing,5541.821428571428
46,testing,5248.720779220779
47,testing,3484.8261143818336
48,testing,5682.075342465753
49,testing,4975.021505376344
50,testing,5393.166666666667
51,testing,5444.1890243902435
52,testing,4960.48623853211
53,testing,5046.982300884956
54,testing,5908.18253968254
55,testing,3901.522292993631
56,testing,3614.7372311827958
57,testing,5704.770833333333
58,testing,5898.2375
59,testing,4226.06699751861
60,testing,5555.2164179104475
61,testing,5776.8275462962965
62,testing,4162.981517509727
63,testing,5447.4671052631575
64,testing,3697.1530172413795
65,testing,5122.19587628866
66,testing,6040.692216981132
67,testing,3898.4517906336087
68,testing,4992.638358778626
69,testing,5799.9915254237285
70,testing,4464.4800380228135
71,testing,5025.896551724138
72,testing,5727.858333333334
73,testing,3888.7988980716254
74,testing,3393.941053828658
75,testing,6027.576136363637
76,testing,3905.0147679324896
77,testing,5136.676829268293
78,testing,6024.0884433962265
